location_id,sensor_name,sensor_description,status,location_type,direction_1_label,direction_2_label,latitude,longitude,installation_date,source_note
3,Swa295_T,Melbourne Central,A,Outdoor,North,South,-37.81101524,144.96429485,2009-03-25,
5,PriNW_T,Princes Bridge,A,Outdoor,North,South,-37.81874249,144.96787656,2009-03-26,Replace with: 00:6e:02:01:9e:54
9,Col700_T,Southern Cross Station,A,Outdoor,East,West,-37.81982992,144.95102555,2009-03-23,
11,WatCit_T,Docklands Waterfront City Building Side,A,Outdoor,East,West,-37.81566651,144.93974366,2009-01-20,Device has been replaced with new sensor on 22/03/2019
12,NewQ_T,New Quay,A,Outdoor,East,West,-37.81457988,144.94292398,2009-01-21,
14,SanBri_T,Sandridge Bridge,A,Outdoor,North,South,-37.82011242,144.96291897,2009-03-24,Sensor relocated to sensor ID 25 on 2/10/2019
18,Col12_T,Collins Place (North),A,Outdoor,East,West,-37.81344862,144.97305353,2009-03-30,
19,LtB210_T,Chinatown-Swanston St (North),A,Outdoor,East,West,-37.81237202,144.96550671,2013-09-02,"Pushbox Upgrade, 20/07/2023"
20,LtB170_T,Chinatown-Lt Bourke St (South),A,Outdoor,East,West,-37.81172914,144.9682466,2013-09-06,"Pushbox Upgrade, 20/07/2023"
27,Vic_T,QV Market-Peel St,A,Outdoor,East,West,-37.80606888,144.95644692,2013-08-16,
35,SouthB_T,Southbank Promenade,A,Outdoor,East,West,-37.82018685,144.96508508,2016-04-11,Device replaced with two new sensors on 15-4-21
41,Swa31,Flinders La-Swanston St (West),A,Outdoor,North,South,-37.81668634,144.96689733,2017-06-29,
43,UM2_T,Monash Rd-Swanston St (West),A,Outdoor,North,South,-37.79844526,144.96411782,2015-04-15,
44,UM3_T,Tin Alley-Swanston St (West),A,Outdoor,North,South,-37.79698741,144.96441306,2015-04-15,"Pushbox Upgrade, 30/06/2023"
46,Pel147_T,Pelham St (South),A,Outdoor,East,West,-37.80240719,144.9615673,2017-07-10,
47,Eli250_T,Melbourne Central-Elizabeth St (East),A,Outdoor,North,South,-37.81258467,144.9625775,2017-08-24,"Pushbox Upgrade, 25/07/2023. Move to 250 Elizabeth Street from adjacent St. Francis Church at 266 Elizabeth."
48,QVMQ_T,QVM-Queen St (East),A,Outdoor,East,West,-37.80631581,144.95866697,2017-10-02,"Pushbox Upgrade, 03/07/2023"
50,Lyg309_T,Faraday St-Lygon St (West),A,Outdoor,North,South,-37.79808192,144.96721013,2017-11-30,"Pushbox Upgrade, 25/07/2023"
51,Fra118_T,QVM-Franklin St (North),A,Outdoor,East,West,-37.80841815,144.95906316,2017-11-30,"Pushbox Upgrade, 20/07/2023"
