id,name,type,latitude,longitude,source_dataset_id,source_category,source_record_name,source_label
quiet-38fc32c3365c,City Library,LIBRARY,-37.81706291,144.96590277,business-establishments-with-address-and-industry-classification,Libraries and Archives,City Library,City of Melbourne Open Data
quiet-05c74849d9bc,East Melbourne Library,LIBRARY,-37.8150637,144.98638719,business-establishments-with-address-and-industry-classification,Libraries and Archives,East Melbourne Library,City of Melbourne Open Data
quiet-878fc009b62c,Kathleen Syme Library and Community Centre,LIBRARY,-37.7987209,144.96525842,business-establishments-with-address-and-industry-classification,Libraries and Archives,Kathleen Syme Library And Community Centre,City of Melbourne Open Data
quiet-50816fa8ad44,Library at the Dock,LIBRARY,-37.82003426,144.94053454,business-establishments-with-address-and-industry-classification,Libraries and Archives,Library at The Dock,City of Melbourne Open Data
quiet-4381b32c9207,narrm ngarrgu Library and Family Services,LIBRARY,-37.80788769,144.95846132,business-establishments-with-address-and-industry-classification,Local Government Administration,Narrm Ngarrgu Library And Family Services Centre,City of Melbourne Open Data
quiet-598defefca95,North Melbourne Library,LIBRARY,-37.80358729,144.94986055,business-establishments-with-address-and-industry-classification,Libraries and Archives,North Melbourne Library,City of Melbourne Open Data
quiet-0bebc9eee9e8,Southbank Library,LIBRARY,-37.82577603,144.96123726,business-establishments-with-address-and-industry-classification,Libraries and Archives,Southbank Library at Boyd,City of Melbourne Open Data
quiet-b27667c5fa2f,State Library Victoria,LIBRARY,-37.80976881,144.96530602,business-establishments-with-address-and-industry-classification,Libraries and Archives,Library Board of Victoria,City of Melbourne Open Data
quiet-767c023b1e12,Alexandra Gardens,PARK,-37.82060514,144.97179607,landmarks-and-places-of-interest-including-schools-theatres-health-services-spor,Informal Outdoor Facility (Park/Garden/Reserve),Alexandra Gardens,City of Melbourne Open Data
quiet-7d74c97906d9,Batman Park,PARK,-37.82184609,144.95666581,landmarks-and-places-of-interest-including-schools-theatres-health-services-spor,Informal Outdoor Facility (Park/Garden/Reserve),Batman Park,City of Melbourne Open Data
quiet-c8019c40ee39,Carlton Gardens North,PARK,-37.80176908,144.97199755,landmarks-and-places-of-interest-including-schools-theatres-health-services-spor,Informal Outdoor Facility (Park/Garden/Reserve),Carlton Gardens North,City of Melbourne Open Data
quiet-56e8428e0582,Carlton Gardens South,PARK,-37.80606846,144.97126648,landmarks-and-places-of-interest-including-schools-theatres-health-services-spor,Informal Outdoor Facility (Park/Garden/Reserve),Carlton Gardens South,City of Melbourne Open Data
quiet-9a8be97578f2,Docklands Park,PARK,-37.82099568,144.9467817,landmarks-and-places-of-interest-including-schools-theatres-health-services-spor,Informal Outdoor Facility (Park/Garden/Reserve),Docklands Park,City of Melbourne Open Data
quiet-5da93cae6931,Enterprize Park,PARK,-37.82021027,144.95927686,landmarks-and-places-of-interest-including-schools-theatres-health-services-spor,Informal Outdoor Facility (Park/Garden/Reserve),Enterprize Park,City of Melbourne Open Data
quiet-cf7d26b3eb01,Fawkner Park,PARK,-37.84139967,144.98162567,landmarks-and-places-of-interest-including-schools-theatres-health-services-spor,Informal Outdoor Facility (Park/Garden/Reserve),Fawkner Park,City of Melbourne Open Data
quiet-9fb334baf5b3,Fitzroy Gardens,PARK,-37.81296163,144.98045571,landmarks-and-places-of-interest-including-schools-theatres-health-services-spor,Informal Outdoor Facility (Park/Garden/Reserve),Fitzroy Gardens,City of Melbourne Open Data
quiet-c1e3feb90d44,Flagstaff Gardens,PARK,-37.81112229,144.95469606,landmarks-and-places-of-interest-including-schools-theatres-health-services-spor,Informal Outdoor Facility (Park/Garden/Reserve),Flagstaff Gardens,City of Melbourne Open Data
quiet-81cd01723339,J.J Holland Park,PARK,-37.79823588,144.92383707,landmarks-and-places-of-interest-including-schools-theatres-health-services-spor,Informal Outdoor Facility (Park/Garden/Reserve),J.J Holland Park,City of Melbourne Open Data
quiet-f2d7339b8f69,Kings Domain,PARK,-37.82552398,144.97410793,landmarks-and-places-of-interest-including-schools-theatres-health-services-spor,Informal Outdoor Facility (Park/Garden/Reserve),Kings Domain,City of Melbourne Open Data
quiet-24e1a75911df,Point Park,PARK,-37.82335227,144.94210228,landmarks-and-places-of-interest-including-schools-theatres-health-services-spor,Informal Outdoor Facility (Park/Garden/Reserve),Point Park,City of Melbourne Open Data
quiet-395e737d7102,Princes Park,PARK,-37.78701617,144.96111521,landmarks-and-places-of-interest-including-schools-theatres-health-services-spor,Informal Outdoor Facility (Park/Garden/Reserve),Princes Park,City of Melbourne Open Data
quiet-d0c3cea7fdd6,Queen Victoria Gardens,PARK,-37.82163812,144.97104953,landmarks-and-places-of-interest-including-schools-theatres-health-services-spor,Informal Outdoor Facility (Park/Garden/Reserve),Queen Victoria Gardens,City of Melbourne Open Data
quiet-696496da5298,Riverslide Skate Park,PARK,-37.82078871,144.97295179,landmarks-and-places-of-interest-including-schools-theatres-health-services-spor,Informal Outdoor Facility (Park/Garden/Reserve),Riverslide Skate Park,City of Melbourne Open Data
quiet-05915a2e4326,Royal Botanic Gardens,PARK,-37.83066316,144.98085043,landmarks-and-places-of-interest-including-schools-theatres-health-services-spor,Informal Outdoor Facility (Park/Garden/Reserve),Royal Botanic Gardens,City of Melbourne Open Data
quiet-2c0bbb2db9c8,Royal Park,PARK,-37.79061743,144.95383424,landmarks-and-places-of-interest-including-schools-theatres-health-services-spor,Informal Outdoor Facility (Park/Garden/Reserve),Royal Park,City of Melbourne Open Data
quiet-7e3077d7171d,Treasury Gardens,PARK,-37.81439936,144.97595234,landmarks-and-places-of-interest-including-schools-theatres-health-services-spor,Informal Outdoor Facility (Park/Garden/Reserve),Treasury Gardens,City of Melbourne Open Data
quiet-efd22fab5e8c,Westgate Park,PARK,-37.83149186,144.90882479,landmarks-and-places-of-interest-including-schools-theatres-health-services-spor,Informal Outdoor Facility (Park/Garden/Reserve),Westgate Park,City of Melbourne Open Data
quiet-659ffc724201,Yarra Park,PARK,-37.82046937,144.98667111,landmarks-and-places-of-interest-including-schools-theatres-health-services-spor,Informal Outdoor Facility (Park/Garden/Reserve),Yarra Park,City of Melbourne Open Data
quiet-b9947ec75a3d,Argyle Square,PUBLIC_SPACE,-37.80314806,144.9657613,landmarks-and-places-of-interest-including-schools-theatres-health-services-spor,Informal Outdoor Facility (Park/Garden/Reserve),Argyle Square,City of Melbourne Open Data
quiet-4398b579994a,Birrarung Marr,PUBLIC_SPACE,-37.81806108,144.97314667,landmarks-and-places-of-interest-including-schools-theatres-health-services-spor,Informal Outdoor Facility (Park/Garden/Reserve),Birrarung Marr,City of Melbourne Open Data
quiet-e3e1faa38f74,Darling Square,PUBLIC_SPACE,-37.81299207,144.98906256,landmarks-and-places-of-interest-including-schools-theatres-health-services-spor,Informal Outdoor Facility (Park/Garden/Reserve),Darling Square,City of Melbourne Open Data
quiet-ca2e05a9d960,Federation Square,PUBLIC_SPACE,-37.81785166,144.9689636,landmarks-and-places-of-interest-including-schools-theatres-health-services-spor,Informal Outdoor Facility (Park/Garden/Reserve),Federation Square,City of Melbourne Open Data
quiet-b36a0ce13c2d,Lincoln Square,PUBLIC_SPACE,-37.80279197,144.96276085,landmarks-and-places-of-interest-including-schools-theatres-health-services-spor,Informal Outdoor Facility (Park/Garden/Reserve),Lincoln Square,City of Melbourne Open Data
quiet-36617932ac75,Macarthur Square,PUBLIC_SPACE,-37.79833187,144.97151415,landmarks-and-places-of-interest-including-schools-theatres-health-services-spor,Informal Outdoor Facility (Park/Garden/Reserve),Macarthur Square,City of Melbourne Open Data
quiet-39ca57e48bd0,Murchison Square,PUBLIC_SPACE,-37.8002735,144.97305925,landmarks-and-places-of-interest-including-schools-theatres-health-services-spor,Informal Outdoor Facility (Park/Garden/Reserve),Murchinson Square,City of Melbourne Open Data
quiet-9e1ac3120d51,New Quay,PUBLIC_SPACE,-37.81521788,144.94161789,landmarks-and-places-of-interest-including-schools-theatres-health-services-spor,Informal Outdoor Facility (Park/Garden/Reserve),New Quay,City of Melbourne Open Data
quiet-0abc734e0cbd,Newmarket Reserve,PUBLIC_SPACE,-37.78784733,144.92297213,landmarks-and-places-of-interest-including-schools-theatres-health-services-spor,Informal Outdoor Facility (Park/Garden/Reserve),Newmarket Reserve,City of Melbourne Open Data
quiet-1b8ecc923207,North Melbourne Recreation Reserve,PUBLIC_SPACE,-37.79883453,144.94145206,landmarks-and-places-of-interest-including-schools-theatres-health-services-spor,Informal Outdoor Facility (Park/Garden/Reserve),North Melbourne Recreation Reserve,City of Melbourne Open Data
quiet-84ce7c2fa8a2,Parliament Reserve,PUBLIC_SPACE,-37.80985262,144.9734622,landmarks-and-places-of-interest-including-schools-theatres-health-services-spor,Informal Outdoor Facility (Park/Garden/Reserve),Parliament Reserve,City of Melbourne Open Data
quiet-6a26821bd0b6,Piazza Italia,PUBLIC_SPACE,-37.80251642,144.96586309,landmarks-and-places-of-interest-including-schools-theatres-health-services-spor,Informal Outdoor Facility (Park/Garden/Reserve),Piazza Italia,City of Melbourne Open Data
quiet-72002783b878,Powlett Reserve,PUBLIC_SPACE,-37.81169299,144.98727567,landmarks-and-places-of-interest-including-schools-theatres-health-services-spor,Informal Outdoor Facility (Park/Garden/Reserve),Powlett Reserve,City of Melbourne Open Data
quiet-e675a406ea8a,Sandridge Rail Bridge,PUBLIC_SPACE,-37.8201763,144.96298114,landmarks-and-places-of-interest-including-schools-theatres-health-services-spor,Informal Outdoor Facility (Park/Garden/Reserve),Sandridge Rail Bridge,City of Melbourne Open Data
quiet-b5cb56e87300,Shrine of Remembrance Reserve,PUBLIC_SPACE,-37.8320734,144.97362836,landmarks-and-places-of-interest-including-schools-theatres-health-services-spor,Informal Outdoor Facility (Park/Garden/Reserve),Shrine of Rembrance Reserve,City of Melbourne Open Data
quiet-7fea73aad9c1,University Square,PUBLIC_SPACE,-37.80041071,144.96039832,landmarks-and-places-of-interest-including-schools-theatres-health-services-spor,Informal Outdoor Facility (Park/Garden/Reserve),University Square,City of Melbourne Open Data
